OrderID,CustomerID,OrderDate,ShippingDate,DeliveryDate,OrderStatus,PaymentMethod,ShippingMethod,Discount,TotalAmount
292871,51811,2025-04-09,2025-04-10,2025-04-12,Delivered,Credit Card,Express Shipping,0.0,1038.65
24188,83897,2023-06-03,2023-06-04,2023-06-07,Delivered,Wallet,Express Shipping,0.0,866.75
314266,16316,2024-02-22,,,Pending,Debit Card,Standard Shipping,0.0,118.98
232499,26438,2024-10-11,2024-10-13,2024-10-15,Delivered,Credit Card,Economy Shipping,0.05,400.03
451683,64806,2025-03-01,2025-03-04,2025-03-09,Delivered,Credit Card,Standard Shipping,0.05,3273.48
291520,12632,2024-09-21,2024-09-22,2024-09-24,Delivered,UPI,Economy Shipping,0.0,48.44
20766,17572,2025-08-08,2025-08-10,2025-08-12,Delivered,Debit Card,Standard Shipping,0.0,1274.32
109210,85631,2024-08-03,2024-08-04,2024-08-08,Returned,UPI,Standard Shipping,0.15,673.36
279506,26359,2025-08-22,2025-08-25,2025-08-29,Delivered,Credit Card,Express Shipping,0.0,1195.02
417937,86360,2025-09-09,2025-09-11,2025-09-14,Delivered,Credit Card,Standard Shipping,0.15,2921.82
52934,84144,2025-12-05,2025-12-07,2025-12-09,Delivered,Credit Card,Express Shipping,0.0,5303.61
233367,83331,2025-04-30,2025-05-02,2025-05-04,Delivered,Credit Card,Standard Shipping,0.0,5963.96
5970,3389,2025-03-18,2025-03-21,2025-03-24,Delivered,UPI,Standard Shipping,0.0,786.66
206188,38910,2025-07-19,,,Cancelled,Credit Card,Express Shipping,0.0,2098.8
172888,58486,2023-12-12,2023-12-13,2023-12-16,Delivered,Net Banking,Express Shipping,0.05,767.81
393805,77459,2024-07-01,2024-07-03,2024-07-06,Delivered,UPI,Standard Shipping,0.05,52.24
378514,68440,2023-12-23,2023-12-25,2023-12-28,Delivered,Wallet,Standard Shipping,0.15,2959.28
38385,84765,2025-07-17,2025-07-18,2025-07-22,Delivered,Wallet,Express Shipping,0.05,1417.17
127577,77329,2025-09-17,2025-09-19,2025-09-21,Delivered,Credit Card,Express Shipping,0.0,3951.39
428203,95810,2025-11-16,2025-11-17,2025-11-22,Delivered,Debit Card,Express Shipping,0.0,1612.4
18637,27692,2022-09-01,2022-09-03,2022-09-06,Delivered,Debit Card,Standard Shipping,0.0,1106.85
297828,9486,2025-10-02,2025-10-03,2025-10-05,Delivered,UPI,Standard Shipping,0.15,1779.0
204337,59458,2024-02-23,2024-02-24,2024-02-27,Delivered,Credit Card,Express Shipping,0.0,1439.9
334902,98468,2025-02-25,2025-02-26,2025-03-01,Delivered,Credit Card,Standard Shipping,0.0,1379.95
196565,95652,2025-11-01,2025-11-02,2025-11-05,Delivered,Net Banking,Standard Shipping,0.0,927.46
208706,20487,2025-12-10,2025-12-12,2025-12-15,Delivered,Debit Card,Express Shipping,0.05,1094.16
409743,6423,2025-12-29,2025-12-30,2026-01-01,Delivered,Credit Card,Express Shipping,0.0,1252.06
135579,32986,2025-09-08,2025-09-10,2025-09-13,Delivered,Debit Card,Express Shipping,0.05,5130.02
213421,21209,2023-05-28,2023-05-29,2023-06-01,Returned,Credit Card,Standard Shipping,0.05,707.37
371803,13130,2024-08-30,2024-08-31,2024-09-02,Delivered,Credit Card,Priority Overnight,0.0,1433.97
57332,91271,2025-06-10,2025-06-11,2025-06-13,Delivered,Credit Card,Express Shipping,0.0,497.06
453047,99761,2025-08-17,2025-08-19,2025-08-24,Delivered,Credit Card,Economy Shipping,0.0,35.99
438355,97340,2025-11-14,2025-11-15,2025-11-17,Delivered,Credit Card,Standard Shipping,0.15,612.25
17720,24496,2024-09-07,2024-09-09,2024-09-13,Delivered,Debit Card,Standard Shipping,0.0,2136.88
73915,8829,2025-12-14,2025-12-16,2025-12-20,Delivered,Debit Card,Standard Shipping,0.1,2555.46
324344,50879,2025-05-03,2025-05-04,2025-05-09,Delivered,UPI,Standard Shipping,0.0,1523.88
118933,45243,2025-06-11,2025-06-13,2025-06-15,Delivered,Credit Card,Standard Shipping,0.05,1588.6
433005,92540,2025-01-30,2025-01-31,2025-02-04,Delivered,Debit Card,Standard Shipping,0.2,1821.9
466758,40286,2025-01-20,,,Cancelled,Net Banking,Standard Shipping,0.05,931.91
306896,64122,2024-05-28,2024-05-30,2024-06-01,Delivered,Credit Card,Standard Shipping,0.1,1510.61
286330,74545,2025-10-10,2025-10-12,2025-10-16,Delivered,UPI,Standard Shipping,0.0,2481.94
34473,36641,2024-04-06,2024-04-07,2024-04-12,Delivered,Debit Card,Standard Shipping,0.0,3059.72
318162,83516,2024-11-22,2024-11-25,2024-11-28,Delivered,Net Banking,Express Shipping,0.1,2527.05
174547,80657,2025-01-01,2025-01-03,2025-01-07,Delivered,Debit Card,Standard Shipping,0.2,1523.17
135081,25460,2025-12-19,2025-12-21,2025-12-24,Delivered,Credit Card,Standard Shipping,0.0,2970.0
433438,55071,2025-12-04,,,Cancelled,UPI,Economy Shipping,0.0,984.27
82606,88236,2025-06-15,2025-06-17,2025-06-21,Delivered,UPI,Economy Shipping,0.0,2113.4
389671,61060,2024-11-12,2024-11-14,2024-11-18,Delivered,Net Banking,Express Shipping,0.0,899.94
432423,73600,2025-11-03,2025-11-04,2025-11-06,Returned,Debit Card,Priority Overnight,0.0,1622.57
194801,34499,2022-11-22,2022-11-23,2022-11-25,Delivered,Debit Card,Priority Overnight,0.0,3576.81
208453,69957,2025-07-30,2025-07-31,2025-08-02,Delivered,UPI,Priority Overnight,0.15,315.32
274369,97782,2025-10-14,2025-10-15,2025-10-19,Delivered,Debit Card,Standard Shipping,0.1,1515.69
467216,21222,2025-09-05,2025-09-07,2025-09-10,Returned,Debit Card,Standard Shipping,0.1,456.11
113810,87000,2024-10-23,2024-10-24,2024-10-27,Delivered,Net Banking,Express Shipping,0.1,2577.47
336381,43230,2025-11-25,2025-11-27,2025-11-30,Returned,Credit Card,Standard Shipping,0.05,1683.17
213765,34334,2025-05-30,2025-05-31,2025-06-02,Delivered,Credit Card,Standard Shipping,0.0,5082.03
16486,92375,2024-12-13,2024-12-14,2024-12-16,Delivered,UPI,Priority Overnight,0.1,898.55
144635,43361,2024-03-06,,,Cancelled,Debit Card,Express Shipping,0.0,1057.32
165516,92446,2024-12-01,2024-12-02,2024-12-05,Returned,Debit Card,Priority Overnight,0.15,1416.49
406003,97701,2023-11-24,2023-11-25,2023-11-28,Delivered,Credit Card,Standard Shipping,0.15,377.35
260630,5227,2023-05-21,2023-05-23,2023-05-28,Delivered,Net Banking,Standard Shipping,0.0,3418.16
240691,12900,2024-12-28,2024-12-29,2024-12-31,Delivered,Credit Card,Express Shipping,0.0,642.26
268176,6406,2024-12-13,,,Cancelled,Wallet,Economy Shipping,0.0,1776.61
162557,77164,2025-08-31,2025-09-01,2025-09-03,Delivered,Debit Card,Standard Shipping,0.0,7342.24
117376,59821,2024-11-13,2024-11-15,2024-11-18,Delivered,Credit Card,Express Shipping,0.0,1060.7
128649,38376,2025-11-22,2025-11-24,2025-11-26,Delivered,Credit Card,Express Shipping,0.0,232.56
496938,4352,2024-11-16,2024-11-17,2024-11-22,Delivered,Net Banking,Express Shipping,0.05,1226.77
133706,23607,2024-12-29,2025-01-01,2025-01-04,Delivered,COD,Express Shipping,0.0,2448.97
332366,47166,2025-11-01,2025-11-03,2025-11-06,Delivered,Credit Card,Standard Shipping,0.0,2832.56
136954,16872,2025-06-05,2025-06-06,2025-06-11,Delivered,Credit Card,Standard Shipping,0.05,489.85
179040,70216,2025-04-05,2025-04-08,2025-04-10,Delivered,Credit Card,Standard Shipping,0.05,2431.55
360606,92155,2025-10-23,2025-10-26,2025-10-30,Delivered,Credit Card,Standard Shipping,0.0,985.15
87091,79967,2025-06-06,2025-06-08,2025-06-10,Delivered,Wallet,Standard Shipping,0.0,2683.04
334754,97765,2024-06-11,2024-06-12,2024-06-17,Delivered,Credit Card,Express Shipping,0.0,1292.35
419797,73739,2023-12-18,2023-12-21,2023-12-24,Delivered,Credit Card,Express Shipping,0.2,541.57
72867,48710,2025-10-13,2025-10-15,2025-10-17,Returned,Credit Card,Priority Overnight,0.0,1936.48
102399,8547,2025-12-28,2025-12-30,2026-01-02,Delivered,Credit Card,Express Shipping,0.0,1509.06
322451,88126,2025-04-04,2025-04-05,2025-04-07,Delivered,UPI,Express Shipping,0.0,1639.71
262574,77909,2023-11-21,2023-11-22,2023-11-25,Delivered,Debit Card,Standard Shipping,0.0,3622.05
162329,90164,2025-11-18,2025-11-20,2025-11-25,Delivered,UPI,Express Shipping,0.0,1508.72
224654,44995,2025-06-15,2025-06-16,2025-06-18,Delivered,Debit Card,Express Shipping,0.15,325.54
205553,90542,2025-12-13,2025-12-14,2025-12-17,Delivered,Credit Card,Express Shipping,0.05,899.63
388154,85294,2025-12-04,2025-12-07,2025-12-10,Delivered,Wallet,Express Shipping,0.05,504.83
458571,25105,2025-11-28,,,Cancelled,Net Banking,Priority Overnight,0.05,2882.59
375363,4061,2025-11-02,2025-11-03,2025-11-06,Delivered,COD,Standard Shipping,0.05,1002.17
235479,23342,2022-12-17,2022-12-19,2022-12-22,Delivered,UPI,Standard Shipping,0.0,2743.4
349148,55684,2025-12-11,2025-12-12,2025-12-14,Delivered,Debit Card,Standard Shipping,0.0,2368.28
248072,66055,2025-03-22,2025-03-23,2025-03-25,Delivered,Credit Card,Standard Shipping,0.15,601.78
457196,41241,2024-11-24,,,Pending,UPI,Express Shipping,0.0,4648.59
464562,48628,2024-04-12,2024-04-13,2024-04-15,Delivered,Debit Card,Economy Shipping,0.1,1509.99
457671,78905,2024-09-10,2024-09-12,2024-09-15,Delivered,UPI,Standard Shipping,0.0,2191.38
451860,19333,2023-12-16,2023-12-17,2023-12-19,Delivered,UPI,Standard Shipping,0.0,979.41
87924,36267,2025-09-24,2025-09-25,2025-09-27,Returned,Net Banking,Standard Shipping,0.0,4270.96
409504,13043,2025-07-12,2025-07-13,2025-07-18,Delivered,Credit Card,Standard Shipping,0.0,119.28
348970,83848,2025-03-13,2025-03-15,2025-03-18,Delivered,COD,Express Shipping,0.0,1244.75
120951,64896,2025-06-30,2025-07-01,2025-07-06,Delivered,UPI,Express Shipping,0.0,6416.06
260204,12223,2025-01-16,2025-01-18,2025-01-23,Delivered,Credit Card,Standard Shipping,0.0,3372.42
4089,8300,2025-07-13,2025-07-16,2025-07-19,Delivered,Credit Card,Standard Shipping,0.1,169.08
342985,53452,2024-08-26,2024-08-28,2024-09-01,Delivered,Net Banking,Express Shipping,0.2,4850.37
252230,79546,2025-06-15,2025-06-17,2025-06-19,Delivered,Credit Card,Express Shipping,0.15,75.19
11987,90454,2025-11-05,2025-11-08,2025-11-11,Delivered,UPI,Express Shipping,0.0,1166.92
464897,33569,2025-11-08,2025-11-09,2025-11-13,Returned,Credit Card,Standard Shipping,0.0,764.77
476521,14024,2022-11-23,2022-11-25,2022-11-28,Delivered,Debit Card,Express Shipping,0.05,2554.49
79249,44629,2025-06-08,2025-06-11,2025-06-14,Delivered,Net Banking,Standard Shipping,0.05,1396.98
156300,21209,2023-07-05,2023-07-06,2023-07-08,Delivered,Credit Card,Standard Shipping,0.15,3023.36
385105,19142,2025-04-12,2025-04-15,2025-04-18,Delivered,Credit Card,Express Shipping,0.0,6094.75
369213,95292,2024-08-22,,,Pending,Net Banking,Economy Shipping,0.0,3673.72
41150,50974,2025-05-26,2025-05-27,2025-05-29,Delivered,COD,Standard Shipping,0.0,3256.79
210080,2231,2025-03-30,2025-03-31,2025-04-02,Delivered,Net Banking,Standard Shipping,0.0,2798.66
360352,39225,2024-06-24,2024-06-26,2024-06-30,Delivered,Credit Card,Standard Shipping,0.05,579.38
189762,47554,2024-07-26,2024-07-27,2024-07-30,Delivered,UPI,Standard Shipping,0.0,4938.13
30966,19192,2024-03-06,2024-03-08,2024-03-11,Delivered,Wallet,Priority Overnight,0.0,1293.09
368890,52926,2025-10-12,2025-10-13,2025-10-16,Delivered,Credit Card,Express Shipping,0.05,1208.92
174978,67140,2025-09-04,,,Pending,Credit Card,Express Shipping,0.0,1679.95
171716,64788,2025-06-07,2025-06-09,2025-06-12,Delivered,Wallet,Standard Shipping,0.0,1910.97
170581,23713,2025-12-05,2025-12-08,2025-12-10,Delivered,Credit Card,Standard Shipping,0.0,294.47
299092,53774,2023-10-14,2023-10-15,2023-10-17,Delivered,Credit Card,Standard Shipping,0.1,1271.79
34457,17919,2024-07-27,,,Cancelled,Wallet,Express Shipping,0.0,8915.36
86100,15258,2025-05-17,2025-05-18,2025-05-21,Delivered,Net Banking,Express Shipping,0.0,1185.38
495667,30007,2025-08-18,2025-08-20,2025-08-23,Delivered,Credit Card,Express Shipping,0.0,2790.8
365258,48935,2024-04-05,2024-04-07,2024-04-09,Delivered,Credit Card,Express Shipping,0.0,2860.09
382058,21771,2025-08-06,2025-08-08,2025-08-12,Delivered,Debit Card,Express Shipping,0.0,4680.64
266182,9475,2024-03-16,2024-03-17,2024-03-19,Delivered,Credit Card,Economy Shipping,0.05,141.63
454387,22659,2025-06-07,2025-06-08,2025-06-10,Delivered,COD,Standard Shipping,0.0,1580.69
432159,98886,2023-01-26,2023-01-28,2023-01-30,Delivered,Net Banking,Standard Shipping,0.05,1773.99
191931,79998,2025-10-21,2025-10-22,2025-10-26,Delivered,Credit Card,Priority Overnight,0.0,584.28
111610,89990,2025-10-14,2025-10-17,2025-10-20,Delivered,COD,Standard Shipping,0.15,4029.88
102647,51578,2024-11-25,2024-11-26,2024-12-01,Delivered,Credit Card,Economy Shipping,0.1,203.37
233411,74643,2025-04-03,,,Pending,Credit Card,Priority Overnight,0.2,340.67
282251,32084,2025-02-08,2025-02-10,2025-02-12,Delivered,Credit Card,Priority Overnight,0.0,3696.04
34251,88350,2024-12-05,2024-12-08,2024-12-10,Delivered,Credit Card,Standard Shipping,0.0,1050.56
104929,73948,2025-06-30,2025-07-02,2025-07-06,Delivered,Debit Card,Express Shipping,0.1,1448.06
276060,18219,2025-10-09,2025-10-11,2025-10-14,Delivered,Debit Card,Economy Shipping,0.05,369.53
243712,12775,2025-05-06,2025-05-07,2025-05-09,Delivered,Debit Card,Express Shipping,0.05,7704.04
152560,11898,2024-07-13,2024-07-16,2024-07-19,Delivered,Credit Card,Standard Shipping,0.1,879.27
36253,34106,2024-08-13,,,Pending,Debit Card,Express Shipping,0.0,855.05
30129,72850,2025-12-06,2025-12-08,2025-12-11,Delivered,UPI,Priority Overnight,0.0,2071.93
3162,66165,2025-04-20,2025-04-21,2025-04-23,Delivered,Credit Card,Economy Shipping,0.05,1498.66
267226,81728,2024-11-08,2024-11-10,2024-11-14,Delivered,Credit Card,Standard Shipping,0.15,1684.16
116031,7971,2025-12-21,2025-12-22,2025-12-27,Delivered,Credit Card,Standard Shipping,0.0,313.62
420650,59010,2025-05-06,2025-05-08,2025-05-11,Delivered,Credit Card,Express Shipping,0.0,654.31
472317,37855,2025-12-15,,,Cancelled,Net Banking,Standard Shipping,0.0,786.86
121214,87004,2023-06-03,2023-06-04,2023-06-06,Delivered,Debit Card,Standard Shipping,0.2,1414.7
490457,37139,2024-09-05,,,Cancelled,Debit Card,Standard Shipping,0.0,2720.46
246951,79498,2025-04-07,2025-04-08,2025-04-11,Delivered,Credit Card,Priority Overnight,0.1,2928.14
295868,19892,2024-12-26,2024-12-29,2025-01-02,Returned,Debit Card,Express Shipping,0.1,7834.26
139121,50615,2024-12-27,2024-12-29,2024-12-31,Delivered,COD,Express Shipping,0.0,970.93
347674,19856,2024-02-28,2024-03-01,2024-03-05,Delivered,UPI,Express Shipping,0.1,1141.85
277695,94226,2025-07-15,2025-07-17,2025-07-19,Delivered,Credit Card,Standard Shipping,0.0,2008.96
4725,97967,2023-11-10,2023-11-12,2023-11-17,Delivered,Credit Card,Express Shipping,0.0,2737.99
183050,45318,2024-12-22,2024-12-25,2024-12-28,Delivered,Credit Card,Economy Shipping,0.2,2083.66
419803,40176,2025-01-08,,,Cancelled,Credit Card,Economy Shipping,0.1,2544.22
371136,55276,2025-07-16,2025-07-18,2025-07-21,Delivered,Debit Card,Standard Shipping,0.0,1864.52
234333,89548,2024-05-01,2024-05-02,2024-05-05,Delivered,Credit Card,Standard Shipping,0.0,2829.93
23833,77593,2022-06-07,2022-06-08,2022-06-11,Delivered,UPI,Express Shipping,0.15,137.89
139418,29454,2025-01-27,2025-01-29,2025-01-31,Delivered,Debit Card,Standard Shipping,0.1,1817.1
299538,44507,2025-10-01,2025-10-03,2025-10-08,Delivered,Wallet,Priority Overnight,0.2,2098.81
385149,10810,2024-11-09,2024-11-12,2024-11-17,Delivered,Credit Card,Express Shipping,0.0,190.17
288612,30245,2025-02-07,2025-02-08,2025-02-10,Delivered,Credit Card,Express Shipping,0.05,3576.17
383211,60343,2023-10-04,2023-10-05,2023-10-07,Delivered,Credit Card,Express Shipping,0.1,1647.24
195239,3851,2025-09-09,2025-09-10,2025-09-14,Delivered,COD,Standard Shipping,0.0,2357.61
447180,59183,2025-10-21,2025-10-22,2025-10-24,Delivered,Debit Card,Express Shipping,0.2,1527.92
371780,65764,2025-12-12,2025-12-13,2025-12-16,Delivered,Debit Card,Priority Overnight,0.05,3627.13
385990,63650,2024-12-22,2024-12-23,2024-12-26,Delivered,Debit Card,Express Shipping,0.1,1257.31
350782,46232,2025-08-11,2025-08-12,2025-08-15,Delivered,Net Banking,Standard Shipping,0.0,1741.09
380398,92364,2024-09-07,2024-09-10,2024-09-12,Delivered,Credit Card,Priority Overnight,0.0,4482.45
464543,54480,2025-09-04,2025-09-07,2025-09-09,Returned,Debit Card,Express Shipping,0.0,1803.25
47194,53769,2024-06-17,2024-06-18,2024-06-23,Delivered,Net Banking,Express Shipping,0.0,961.95
32596,46886,2024-09-09,,,Cancelled,COD,Standard Shipping,0.15,646.3
285860,90623,2024-03-26,2024-03-28,2024-03-30,Delivered,Debit Card,Express Shipping,0.0,820.45
355926,10073,2025-05-26,2025-05-28,2025-06-01,Delivered,Wallet,Standard Shipping,0.0,3673.85
316593,66929,2022-09-14,2022-09-15,2022-09-17,Delivered,Debit Card,Express Shipping,0.0,2134.98
301554,60633,2025-09-24,2025-09-26,2025-10-01,Delivered,UPI,Express Shipping,0.0,1242.12
176589,75530,2024-05-05,2024-05-06,2024-05-08,Returned,Credit Card,Standard Shipping,0.0,3832.92
490213,94978,2022-11-05,2022-11-07,2022-11-12,Delivered,UPI,Standard Shipping,0.0,1307.03
441606,52868,2024-10-16,2024-10-18,2024-10-20,Returned,UPI,Standard Shipping,0.0,503.18
225403,14302,2025-04-04,2025-04-06,2025-04-09,Delivered,Credit Card,Express Shipping,0.0,2578.24
158632,98268,2024-02-14,2024-02-15,2024-02-19,Delivered,Debit Card,Standard Shipping,0.0,1673.84
168222,28794,2024-12-13,2024-12-14,2024-12-19,Delivered,UPI,Standard Shipping,0.15,236.03
111755,75852,2025-12-30,2025-12-31,2026-01-02,Delivered,UPI,Priority Overnight,0.05,929.09
387079,85026,2024-02-17,2024-02-19,2024-02-23,Delivered,Credit Card,Priority Overnight,0.0,2853.2
201114,83769,2023-04-23,2023-04-26,2023-04-29,Delivered,Credit Card,Economy Shipping,0.0,35.99
171123,15091,2023-11-09,2023-11-11,2023-11-13,Delivered,Net Banking,Express Shipping,0.05,2998.54
366188,36874,2022-11-29,2022-12-01,2022-12-04,Delivered,Debit Card,Priority Overnight,0.0,644.27
257110,23501,2025-10-23,2025-10-24,2025-10-28,Delivered,Debit Card,Standard Shipping,0.2,245.97
497763,43244,2025-12-01,2025-12-02,2025-12-05,Delivered,Credit Card,Standard Shipping,0.05,1323.31
105552,95163,2023-01-13,2023-01-16,2023-01-19,Delivered,Credit Card,Priority Overnight,0.0,3196.08
